,index,geneO,geneH,vGeneIden,utrIden
213,2918,IGHV1-28*01,IGHV1-18*04,0.6526610644257703,0.5370370370370371
214,2920,IGHV1-28*01,IGHV1-2*02,0.6573033707865169,0.5122950819672132
215,2921,IGHV1-28*01,IGHV1-2*03,0.6573033707865169,0.5122950819672132
216,2922,IGHV1-28*01,IGHV1-2*04,0.6526610644257703,0.4862412177985949
217,2923,IGHV1-28*01,IGHV1-2*05,0.6526610644257703,0.5122950819672132
218,2924,IGHV1-28*01,IGHV1-2*06,0.6526610644257703,0.4979508196721312
219,2926,IGHV1-28*01,IGHV1-24*01,0.6573033707865169,0.5140562733462007
220,2927,IGHV1-28*01,IGHV1-24*02,0.6554621848739496,0.49122807017543857
221,2928,IGHV1-28*01,IGHV1-3*01,0.6666666666666666,0.46641878414424925
222,2929,IGHV1-28*01,IGHV1-3*02,0.6619718309859155,0.5534350342701184
223,2930,IGHV1-28*01,IGHV1-3*03,0.6666666666666666,0.5534350342701184
224,2931,IGHV1-28*01,IGHV1-3*04,0.6638418079096046,0.5366391652814971
225,2932,IGHV1-28*01,IGHV1-3*05,0.6666666666666666,0.547385922317645
226,2933,IGHV1-28*01,IGHV1-3*06,0.6666666666666666,0.5561536281179138
227,2935,IGHV1-28*01,IGHV1-45*02,0.6434540389972145,0.5592937099467638
228,2936,IGHV1-28*01,IGHV1-45*03,0.6388888888888888,0.5573025335320417
229,2937,IGHV1-28*01,IGHV1-46*01,0.6526610644257703,0.49857238716145363
230,2938,IGHV1-28*01,IGHV1-46*02,0.6480446927374302,0.52310372424832
231,2939,IGHV1-28*01,IGHV1-46*03,0.6526610644257703,0.52310372424832
232,2941,IGHV1-28*01,IGHV1-58*01,0.6120218579234973,0.4143069813469585
233,2942,IGHV1-28*01,IGHV1-58*02,0.6164383561643836,0.4093240828800919
234,2944,IGHV1-28*01,IGHV1-67*01,0.6363636363636364,0.5704066399286988
235,2948,IGHV1-28*01,IGHV1-69*01,0.6480446927374302,0.5270072198869777
236,2949,IGHV1-28*01,IGHV1-69*02,0.6657223796033994,0.5603448275862069
237,2951,IGHV1-28*01,IGHV1-69*04,0.6573033707865169,0.5786063428405972
238,2952,IGHV1-28*01,IGHV1-69*05,0.6470588235294118,0.5603448275862069
239,2953,IGHV1-28*01,IGHV1-69*06,0.6526610644257703,0.576385546355537
240,2957,IGHV1-28*01,IGHV1-69*10,0.6619718309859155,0.5603448275862069
241,2958,IGHV1-28*01,IGHV1-69*11,0.6526610644257703,0.5581896551724139
242,2959,IGHV1-28*01,IGHV1-69*12,0.6480446927374302,0.5700822884012539
243,2960,IGHV1-28*01,IGHV1-69*13,0.6526610644257703,0.5689655172413792
244,2961,IGHV1-28*01,IGHV1-69*14,0.6526610644257703,0.5560344827586208
245,2962,IGHV1-28*01,IGHV1-69*15,0.6480446927374302,0.5603448275862069
246,2968,IGHV1-28*01,IGHV1-69*21,0.6526610644257703,0.5603448275862069
247,2969,IGHV1-28*01,IGHV1-69*22,0.6480446927374302,0.5603448275862069
248,2970,IGHV1-28*01,IGHV1-69*23,0.6666666666666666,0.49287388791479964
249,2972,IGHV1-28*01,IGHV1-69-2*01,0.6666666666666666,0.4889112903225806
250,2974,IGHV1-28*01,IGHV1-69-2*03,0.6713881019830028,0.5
251,2975,IGHV1-28*01,IGHV1-8*01,0.6713881019830028,0.5437831306326217
252,2976,IGHV1-28*01,IGHV1-8*02,0.6666666666666666,0.5628787321349943
253,2977,IGHV1-28*01,IGHV1-8*03,0.6666666666666666,0.5909090909090908
254,3001,IGHV1-28*01,IGHV2-10*01,0.5295629820051414,0.3168668300653595
255,3002,IGHV1-28*01,IGHV2-26*01,0.5256410256410257,0.29434436274509806
256,3003,IGHV1-28*01,IGHV2-26*02,0.5217391304347826,0.32162990196078434
257,3005,IGHV1-28*01,IGHV2-26*04,0.5217391304347826,0.32162990196078434
258,3006,IGHV1-28*01,IGHV2-5*01,0.5295629820051414,0.33174019607843136
259,3007,IGHV1-28*01,IGHV2-5*02,0.5256410256410257,0.3277377450980392
260,3010,IGHV1-28*01,IGHV2-5*05,0.5217391304347826,0.34154411764705883
261,3014,IGHV1-28*01,IGHV2-70*01,0.5256410256410257,0.31292892156862745
262,3017,IGHV1-28*01,IGHV2-70*04,0.5256410256410257,0.27700980392156865
263,3026,IGHV1-28*01,IGHV2-70*13,0.5256410256410257,0.27156454248366013
264,3027,IGHV1-28*01,IGHV2-70*14,0.5256410256410257,0.27700980392156865
265,3028,IGHV1-28*01,IGHV2-70*15,0.5256410256410257,0.2696609477124183
266,3035,IGHV1-28*01,IGHV3-11*01,0.5526315789473685,0.34423202614379084
267,3038,IGHV1-28*01,IGHV3-11*04,0.5526315789473685,0.396875
268,3039,IGHV1-28*01,IGHV3-11*05,0.5567282321899736,0.396875
269,3040,IGHV1-28*01,IGHV3-11*06,0.5567282321899736,0.40941647481040083
270,3041,IGHV1-28*01,IGHV3-13*01,0.5488126649076517,0.4773423830448784
271,3043,IGHV1-28*01,IGHV3-13*03,0.5517241379310345,0.6063486842105263
272,3044,IGHV1-28*01,IGHV3-13*04,0.5447368421052632,0.3981481481481481
273,3045,IGHV1-28*01,IGHV3-13*05,0.5488126649076517,0.3981481481481481
274,3046,IGHV1-28*01,IGHV3-15*01,0.5360824742268041,0.4325729515647422
275,3047,IGHV1-28*01,IGHV3-15*02,0.5360824742268041,0.41874999999999996
276,3052,IGHV1-28*01,IGHV3-15*07,0.532133676092545,0.44184171811692075
277,3054,IGHV1-28*01,IGHV3-15*09,0.532133676092545,0.44353863397210236
278,3058,IGHV1-28*01,IGHV3-20*01,0.5404699738903395,0.45759816250443835
279,3059,IGHV1-28*01,IGHV3-20*02,0.5404699738903395,0.46231617647058826
280,3061,IGHV1-28*01,IGHV3-20*04,0.5404699738903395,0.45150213453647825
281,3062,IGHV1-28*01,IGHV3-21*01,0.5445026178010471,0.3979508743557816
282,3063,IGHV1-28*01,IGHV3-21*02,0.5404699738903395,0.44352262619114186
283,3067,IGHV1-28*01,IGHV3-21*06,0.5445026178010471,0.49997483452840596
284,3068,IGHV1-28*01,IGHV3-22*01,0.5561357702349871,0.5768963675213675
285,3069,IGHV1-28*01,IGHV3-22*02,0.5602094240837696,0.38147186732697225
286,3070,IGHV1-28*01,IGHV3-23*01,0.5485564304461942,0.4204528335997089
287,3072,IGHV1-28*01,IGHV3-23*03,0.5526315789473685,0.2981778977413751
288,3073,IGHV1-28*01,IGHV3-23*04,0.5485564304461942,0.4285350689135152
289,3074,IGHV1-28*01,IGHV3-23*05,0.5514511873350924,0.3665348101265823
290,3075,IGHV1-28*01,IGHV3-23*06,0.5442708333333334,0.43829181501888276
291,3076,IGHV1-28*01,IGHV3-23*07,0.5570291777188329,0.3665348101265823
292,3083,IGHV1-28*01,IGHV3-30*01,0.5691489361702128,0.4206508059391951
293,3084,IGHV1-28*01,IGHV3-30*02,0.5775401069518716,0.4734034270894756
294,3085,IGHV1-28*01,IGHV3-30*03,0.5733333333333334,0.43550649084761917
295,3086,IGHV1-28*01,IGHV3-30*04,0.5733333333333334,0.444844628683032
296,3088,IGHV1-28*01,IGHV3-30*06,0.5691489361702128,0.4240400472454983
297,3100,IGHV1-28*01,IGHV3-30*18,0.5733333333333334,0.4361422341992562
298,3102,IGHV1-28*01,IGHV3-30*20,0.5775401069518716,0.4345920089033876
299,3106,IGHV1-28*01,IGHV3-30-3*01,0.5733333333333334,0.4550716298631937
300,3107,IGHV1-28*01,IGHV3-30-3*02,0.5733333333333334,0.4791280033140016
301,3111,IGHV1-28*01,IGHV3-33*01,0.5733333333333334,0.45049068571603645
302,3115,IGHV1-28*01,IGHV3-33*05,0.5691489361702128,0.41996568015689073
303,3116,IGHV1-28*01,IGHV3-33*06,0.5733333333333334,0.4502231374467999
304,3118,IGHV1-28*01,IGHV3-33*08,0.5733333333333334,0.4159420323852956
305,3119,IGHV1-28*01,IGHV3-33*09,0.5718085106382979,0.4396410372956262
306,3121,IGHV1-28*01,IGHV3-35*01,0.5526315789473685,0.41333333333333333
307,3128,IGHV1-28*01,IGHV3-38*02,0.5502645502645502,0.4193733604156585
308,3131,IGHV1-28*01,IGHV3-41*01,0.5447368421052632,0.546893115942029
309,3138,IGHV1-28*01,IGHV3-43*01,0.5297157622739018,0.46049248311134466
310,3139,IGHV1-28*01,IGHV3-43*02,0.5257731958762887,0.43281956398887145
311,3140,IGHV1-28*01,IGHV3-43D*03,0.5257731958762887,0.49432154519179844
312,3141,IGHV1-28*01,IGHV3-43D*04,0.5297157622739018,0.4612227968972252
313,3145,IGHV1-28*01,IGHV3-48*01,0.5445026178010471,0.45804258055648617
314,3146,IGHV1-28*01,IGHV3-48*02,0.5445026178010471,0.43050993956925526
315,3147,IGHV1-28*01,IGHV3-48*03,0.5485564304461942,0.46463996896273907
316,3148,IGHV1-28*01,IGHV3-48*04,0.5445026178010471,0.43189707863282095
317,3151,IGHV1-28*01,IGHV3-49*03,0.5561357702349871,0.40698927545583774
318,3152,IGHV1-28*01,IGHV3-49*04,0.5561357702349871,0.44642472838136865
319,3153,IGHV1-28*01,IGHV3-49*05,0.5561357702349871,0.3942073170731707
320,3155,IGHV1-28*01,IGHV3-52*01,0.5526315789473685,0.5660119047619048
321,3158,IGHV1-28*01,IGHV3-53*01,0.5447368421052632,0.4660150413298061
322,3159,IGHV1-28*01,IGHV3-53*02,0.5447368421052632,0.44713279678068407
